"ticker","type_stock","date_approval","value_cash","ratio","corporate_action","last_date_prior_ex","date_closing_price_prior_ex_date","closing_price_prior_ex_date","quoted_per_shares","corporate_action_price","last_date_time_prior_ex"
"ARZZ3","ON","2021-06-28","0,29865107726","1,0","JRS CAP PROPRIO","2021-07-01","2021-07-01","93,51","1,0","0,319379","2021-07-01T00:00:00"
"ARZZ3","ON","2021-11-29","0,26323263041","1,0","DIVIDENDO","2021-12-03","2021-12-03","74,18","1,0","0,354857","2021-12-03T00:00:00"
"ARZZ3","ON","2021-11-29","0,33923514387","1,0","JRS CAP PROPRIO","2021-12-03","2021-12-03","74,18","1,0","0,457313","2021-12-03T00:00:00"
"ARZZ3","ON","2022-04-29","0,45555930592","1,0","DIVIDENDO","2022-04-29","2022-04-29","89,47","1,0","0,509175","2022-04-29T00:00:00"
"ARZZ3","ON","2022-06-27","0,63489523184","1,0","JRS CAP PROPRIO","2022-07-01","2022-07-01","69,92","1,0","0,908031","2022-07-01T00:00:00"
"ARZZ3","ON","2022-12-12","0,74517524313","1,0","JRS CAP PROPRIO","2022-12-16","2022-12-16","73,95","1,0","1,007674","2022-12-16T00:00:00"
"ARZZ3","ON","2023-06-25","0,84976952879","1,0","JRS CAP PROPRIO","2023-06-30","2023-06-30","79,07","1,0","1,074705","2023-06-30T00:00:00"
"ASAI3","ON","2021-04-28","0,31654126223","1,0","DIVIDENDO","2021-04-28","2021-04-28","79,98","1,0","0,395776","2021-04-28T00:00:00"
"ASAI3","ON","2021-09-30","0,04703342752","1,0","JRS CAP PROPRIO","2021-10-05","2021-10-05","19,22","1,0","0,244711","2021-10-05T00:00:00"
"ASAI3","ON","2022-04-28","0,12503840768","1,0","DIVIDENDO","2022-04-28","2022-04-28","15,53","1,0","0,805141","2022-04-28T00:00:00"
"ASAI3","ON","2022-12-23","0,03705994849","1,0","JRS CAP PROPRIO","2022-12-28","2022-12-28","19,43","1,0","0,190736","2022-12-28T00:00:00"
"ASAI3","ON","2023-04-27","0,05001854311","1,0","DIVIDENDO","2023-04-27","2023-04-27","12,3","1,0","0,406655","2023-04-27T00:00:00"
"AURE3","ON","2022-04-11","0,086049428","1,0","DIVIDENDO","2022-05-03","2022-05-03","14,49","1,0","0,593854","2022-05-03T00:00:00"
"AURE3","ON","2022-04-29","0,013950572","1,0","DIVIDENDO","2022-05-03","2022-05-03","14,49","1,0","0,096277","2022-05-03T00:00:00"
"AURE3","ON","2023-04-28","1,5","1,0","DIVIDENDO","2023-05-04","2023-05-04","15,75","1,0","9,52381","2023-05-04T00:00:00"
"B3SA3","ON","2015-03-30","0,10321756","1,0","DIVIDENDO","2015-04-15","2015-04-15","12,4","1,0","0,8324","2015-04-15T00:00:00"
"B3SA3","ON","2015-05-14","0,12410981","1,0","DIVIDENDO","2015-05-18","2015-05-18","12,32","1,0","1,007385","2015-05-18T00:00:00"
"B3SA3","ON","2015-08-13","0,14274885","1,0","JRS CAP PROPRIO","2015-08-21","2015-08-21","10,55","1,0","1,35307","2015-08-21T00:00:00"
"B3SA3","ON","2015-11-12","0,17655681","1,0","JRS CAP PROPRIO","2015-11-23","2015-11-23","12,45","1,0","1,418127","2015-11-23T00:00:00"
"B3SA3","ON","2015-12-10","0,2525118","1,0","JRS CAP PROPRIO","2015-12-11","2015-12-11","12,0","1,0","2,104265","2015-12-11T00:00:00"
"B3SA3","ON","2016-05-12","0,09497308","1,0","JRS CAP PROPRIO","2016-05-23","2016-05-23","16,25","1,0","0,58445","2016-05-23T00:00:00"
"B3SA3","ON","2016-08-11","0,12061624","1,0","JRS CAP PROPRIO","2016-08-22","2016-08-22","17,95","1,0","0,671957","2016-08-22T00:00:00"
"B3SA3","ON","2016-11-11","0,08208994","1,0","JRS CAP PROPRIO","2016-11-21","2016-11-21","16,45","1,0","0,499027","2016-11-21T00:00:00"
"B3SA3","ON","2016-12-16","0,20589063","1,0","JRS CAP PROPRIO","2016-12-21","2016-12-21","15,58","1,0","1,321506","2016-12-21T00:00:00"
"B3SA3","ON","2017-05-12","0,06880749","1,0","JRS CAP PROPRIO","2017-05-22","2017-05-22","18,51","1,0","0,371731","2017-05-22T00:00:00"
"B3SA3","ON","2017-08-11","0,04002257","1,0","JRS CAP PROPRIO","2017-08-21","2017-08-21","21,91","1,0","0,182668","2017-08-21T00:00:00"
"B3SA3","ON","2017-11-10","0,08245635","1,0","JRS CAP PROPRIO","2017-11-21","2017-11-21","24,28","1,0","0,339606","2017-11-21T00:00:00"
"B3SA3","ON","2017-12-08","0,26138221","1,0","JRS CAP PROPRIO","2017-12-21","2017-12-21","22,28","1,0","1,17317","2017-12-21T00:00:00"
"B3SA3","ON","2018-04-13","0,09793083","1,0","JRS CAP PROPRIO","2018-04-23","2018-04-23","25,74","1,0","0,380462","2018-04-23T00:00:00"
"B3SA3","ON","2018-06-22","0,22114738","1,0","JRS CAP PROPRIO","2018-06-27","2018-06-27","20,2","1,0","1,094789","2018-06-27T00:00:00"
"B3SA3","ON","2018-09-14","0,17612713","1,0","JRS CAP PROPRIO","2018-09-21","2018-09-21","23,1","1,0","0,762455","2018-09-21T00:00:00"
"B3SA3","ON","2018-12-14","0,20692531","1,0","JRS CAP PROPRIO","2018-12-21","2018-12-21","26,74","1,0","0,773842","2018-12-21T00:00:00"
"B3SA3","ON","2019-03-21","0,19295053","1,0","JRS CAP PROPRIO","2019-03-26","2019-03-26","33,3","1,0","0,579431","2019-03-26T00:00:00"
"B3SA3","ON","2019-06-19","0,19046948","1,0","JRS CAP PROPRIO","2019-06-25","2019-06-25","37,66","1,0","0,505761","2019-06-25T00:00:00"
"B3SA3","ON","2019-06-27","0,10320324","1,0","DIVIDENDO","2019-07-04","2019-07-04","39,74","1,0","0,259696","2019-07-04T00:00:00"
"B3SA3","ON","2019-09-19","0,18818893","1,0","JRS CAP PROPRIO","2019-09-24","2019-09-24","44,3","1,0","0,424806","2019-09-24T00:00:00"
"B3SA3","ON","2019-09-19","0,12942021","1,0","DIVIDENDO","2019-09-24","2019-09-24","44,3","1,0","0,292145","2019-09-24T00:00:00"
"B3SA3","ON","2019-12-12","0,19011791","1,0","JRS CAP PROPRIO","2019-12-30","2019-12-30","42,97","1,0","0,442443","2019-12-30T00:00:00"
"B3SA3","ON","2019-12-12","0,16372622","1,0","DIVIDENDO","2019-12-30","2019-12-30","42,97","1,0","0,381024","2019-12-30T00:00:00"
"B3SA3","ON","2020-03-05","0,31806758","1,0","DIVIDENDO","2020-03-25","2020-03-25","38,79","1,0","0,819973","2020-03-25T00:00:00"
"B3SA3","ON","2020-03-05","0,14337507","1,0","JRS CAP PROPRIO","2020-03-25","2020-03-25","38,79","1,0","0,369619","2020-03-25T00:00:00"
"B3SA3","ON","2020-03-05","0,16845165","1,0","DIVIDENDO","2020-03-25","2020-03-25","38,79","1,0","0,434266","2020-03-25T00:00:00"
"B3SA3","ON","2020-06-25","0,14679782","1,0","JRS CAP PROPRIO","2020-06-30","2020-06-30","55,09","1,0","0,266469","2020-06-30T00:00:00"
"B3SA3","ON","2020-09-21","0,14787107","1,0","JRS CAP PROPRIO","2020-09-24","2020-09-24","58,97","1,0","0,250756","2020-09-24T00:00:00"
"B3SA3","ON","2020-09-21","0,6487425","1,0","DIVIDENDO","2020-09-24","2020-09-24","58,97","1,0","1,100123","2020-09-24T00:00:00"
"B3SA3","ON","2020-12-10","0,14692192","1,0","JRS CAP PROPRIO","2020-12-30","2020-12-30","61,98","1,0","0,237047","2020-12-30T00:00:00"
"B3SA3","ON","2020-12-10","0,41047812","1,0","DIVIDENDO","2020-12-30","2020-12-30","61,98","1,0","0,662275","2020-12-30T00:00:00"
"B3SA3","ON","2021-03-04","0,58572622","1,0","DIVIDENDO","2021-03-24","2021-03-24","53,79","1,0","1,088913","2021-03-24T00:00:00"
"B3SA3","ON","2021-03-04","0,39313429","1,0","DIVIDENDO","2021-03-24","2021-03-24","53,79","1,0","0,730869","2021-03-24T00:00:00"
"B3SA3","ON","2021-03-19","0,11448214","1,0","JRS CAP PROPRIO","2021-03-26","2021-03-26","54,01","1,0","0,211965","2021-03-26T00:00:00"
"B3SA3","ON","2021-06-24","0,046107","1,0","JRS CAP PROPRIO","2021-06-29","2021-06-29","17,04","1,0","0,270581","2021-06-29T00:00:00"
"B3SA3","ON","2021-06-24","0,1685438","1,0","DIVIDENDO","2021-06-29","2021-06-29","17,04","1,0","0,989107","2021-06-29T00:00:00"
"B3SA3","ON","2021-09-23","0,04421323","1,0","JRS CAP PROPRIO","2021-09-28","2021-09-28","12,94","1,0","0,341679","2021-09-28T00:00:00"
"B3SA3","ON","2021-09-23","0,15039672","1,0","DIVIDENDO","2021-09-28","2021-09-28","12,94","1,0","1,162262","2021-09-28T00:00:00"
"B3SA3","ON","2021-12-09","0,14945153","1,0","DIVIDENDO","2021-12-20","2021-12-20","11,88","1,0","1,25801","2021-12-20T00:00:00"
